date,cumDeaths28DaysByDeathDate
21/07/2020,36606
20/07/2020,36586
19/07/2020,36574
18/07/2020,36560
17/07/2020,36545
16/07/2020,36527
15/07/2020,36515
14/07/2020,36495
13/07/2020,36475
12/07/2020,36451
11/07/2020,36438
10/07/2020,36418
09/07/2020,36395
08/07/2020,36360
07/07/2020,36337
06/07/2020,36311
05/07/2020,36276
04/07/2020,36251
03/07/2020,36220
02/07/2020,36193
01/07/2020,36153
30/06/2020,36132
29/06/2020,36089
28/06/2020,36055
27/06/2020,36013
26/06/2020,35972
25/06/2020,35934
24/06/2020,35876
23/06/2020,35809
22/06/2020,35747
21/06/2020,35689
20/06/2020,35642
19/06/2020,35588
18/06/2020,35541
17/06/2020,35484
16/06/2020,35430
15/06/2020,35360
14/06/2020,35298
13/06/2020,35222
12/06/2020,35170
11/06/2020,35097
10/06/2020,35025
09/06/2020,34927
08/06/2020,34842
07/06/2020,34730
06/06/2020,34617
05/06/2020,34518
04/06/2020,34409
03/06/2020,34288
02/06/2020,34150
01/06/2020,33995
31/05/2020,33874
30/05/2020,33761
29/05/2020,33616
28/05/2020,33453
27/05/2020,33271
26/05/2020,33099
25/05/2020,32910
24/05/2020,32735
23/05/2020,32565
22/05/2020,32365
21/05/2020,32170
20/05/2020,31968
19/05/2020,31732
18/05/2020,31501
17/05/2020,31248
16/05/2020,31026
15/05/2020,30758
14/05/2020,30489
13/05/2020,30212
12/05/2020,29956
11/05/2020,29681
10/05/2020,29421
09/05/2020,29121
08/05/2020,28790
07/05/2020,28459
06/05/2020,28060
05/05/2020,27669
04/05/2020,27277
03/05/2020,26865
02/05/2020,26477
01/05/2020,26053
30/04/2020,25574
29/04/2020,25090
28/04/2020,24595
27/04/2020,24097
26/04/2020,23591
25/04/2020,23031
24/04/2020,22477
23/04/2020,21875
22/04/2020,21280
21/04/2020,20637
20/04/2020,19986
19/04/2020,19301
18/04/2020,18613
17/04/2020,17907
16/04/2020,17164
15/04/2020,16411
14/04/2020,15629
13/04/2020,14859
12/04/2020,14054
11/04/2020,13198
10/04/2020,12334
09/04/2020,11484
08/04/2020,10609
07/04/2020,9632
06/04/2020,8723
05/04/2020,7917
04/04/2020,7088
03/04/2020,6250
02/04/2020,5507
01/04/2020,4776
31/03/2020,4078
30/03/2020,3474
29/03/2020,2934
28/03/2020,2469
27/03/2020,2085
26/03/2020,1711
25/03/2020,1373
24/03/2020,1095
23/03/2020,876
22/03/2020,703
21/03/2020,550
20/03/2020,434
19/03/2020,332
18/03/2020,266
17/03/2020,199
16/03/2020,148
15/03/2020,105
14/03/2020,73
13/03/2020,53
12/03/2020,37
11/03/2020,25
10/03/2020,17
09/03/2020,14
08/03/2020,9
07/03/2020,6
06/03/2020,6
05/03/2020,6
04/03/2020,3
03/03/2020,3
02/03/2020,1
