country,headie1,headie2
LUX,2012,34.3
LUX,2013,32
LUX,2014,31.2
LUX,2015,32.9
LUX,2016,31.7
LUX,2017,34.5
LUX,2018,35.4
LUX,2019,32.3
MLT,1999,28
MLT,2000,30
MLT,2001,28.2
MLT,2002,28.6
MLT,2003,28.1
MLT,2004,27.7
MLT,2005,27
MLT,2006,28
MLT,2007,29.2
MLT,2008,29
MLT,2009,30.2
MLT,2010,29
MLT,2011,29.1
MLT,2012,29.4
MLT,2013,28.8
MLT,2014,29
MLT,2015,29.4
MLT,2016,29.1
MLT,2017,29.2
MLT,2018,28.7
MLT,2019,28
NLD,1995,29
NLD,1996,29
NLD,1997,26
NLD,1998,25
NLD,1999,28.1
NLD,2000,29
NLD,2001,27
NLD,2002,27
NLD,2003,26.7
NLD,2004,29.8
NLD,2005,29
NLD,2006,30
NLD,2007,29.6
NLD,2008,29.3
NLD,2009,27.9
NLD,2010,27.8
NLD,2011,27.8
NLD,2012,27.6
NLD,2013,28.1
NLD,2014,28.6
NLD,2015,28.2
NLD,2016,28.2
NLD,2017,28.5
NLD,2018,28.1
NLD,2019,26.8
POL,1999,28.5
POL,2000,30
POL,2001,30
POL,2002,29.8
POL,2003,30.6
POL,2004,38
POL,2005,35.8
POL,2006,34.7
POL,2007,34
POL,2008,33.5
POL,2009,33.4
POL,2010,33.2
POL,2011,33.2
POL,2012,33
POL,2013,33.1
POL,2014,32.8
POL,2015,31.8
POL,2016,31.2
POL,2017,29.7
POL,2018,30.2
POL,2019,28.5
PRT,1995,37
PRT,1996,36
PRT,1997,36
PRT,1998,37
PRT,1999,36
PRT,2000,36
PRT,2001,37
PRT,2002,33.9
PRT,2003,38.8
PRT,2004,38.9
PRT,2005,38.5
PRT,2006,38.1
PRT,2007,36.8
PRT,2008,36.6
PRT,2009,34.9
PRT,2010,35.8
PRT,2011,36.3
PRT,2012,36
PRT,2013,36.2
PRT,2014,35.6
PRT,2015,35.5
PRT,2016,35.2
PRT,2017,33.8
PRT,2018,33.5
PRT,2019,31.9
ROU,1999,34.8
ROU,2000,29
ROU,2001,30
ROU,2002,30
ROU,2003,37.4
ROU,2004,35
ROU,2005,34.6
ROU,2006,39.6
ROU,2007,37.5
ROU,2008,36.4
ROU,2009,35.6
ROU,2010,35.5
ROU,2011,35.9
ROU,2012,36.5
ROU,2013,36.9
ROU,2014,36
ROU,2015,35.9
ROU,2016,34.4
ROU,2017,36
ROU,2018,35.8
ROU,2019,34.8
SVK,1999,22.8
SVK,2000,20.9
SVK,2001,23.2
SVK,2002,24.3
SVK,2003,23.7
SVK,2004,27.1
SVK,2005,29.3
SVK,2006,25.8
SVK,2007,24.7
SVK,2008,26
SVK,2009,27.2
SVK,2010,27.3
SVK,2011,26.5
SVK,2012,26.1
SVK,2013,28.1
SVK,2014,26.1
SVK,2015,26.5
SVK,2016,25.2
SVK,2017,23.2
SVK,2018,25
SVK,2019,22.8
SVN,1999,23.9
SVN,2000,22
SVN,2001,22
SVN,2002,22
SVN,2003,24.5
SVN,2004,24.8
SVN,2005,24.6
SVN,2006,24.4
SVN,2007,24.4
SVN,2008,23.7
SVN,2009,24.8
SVN,2010,24.9
SVN,2011,24.9
SVN,2012,25.6
SVN,2013,26.2
SVN,2014,25.7
SVN,2015,25.4
SVN,2016,24.8
SVN,2017,24.2
SVN,2018,24.6
SVN,2019,23.9
ESP,1995,34
ESP,1996,34
ESP,1997,35
ESP,1998,34
ESP,1999,33
ESP,2000,34.3
ESP,2001,33
ESP,2002,31
ESP,2003,31.8
ESP,2004,33.3
ESP,2005,32.4
ESP,2006,33.5
ESP,2007,34.1
ESP,2008,34.2
ESP,2009,34.9
ESP,2010,35.2
ESP,2011,35.7
ESP,2012,35.4
ESP,2013,36.2
ESP,2014,36.1
ESP,2015,36.2
ESP,2016,35.8
ESP,2017,34.7
ESP,2018,34.7
ESP,2019,33
SWE,1997,21
SWE,1999,22
SWE,2000,27.2
SWE,2001,24
SWE,2002,23
SWE,2003,25.3
SWE,2004,26.1
SWE,2005,26.8
SWE,2006,26.4
SWE,2007,27.1
SWE,2008,28.1
SWE,2009,27.3
SWE,2010,27.7
SWE,2011,27.6
SWE,2012,27.6
SWE,2013,28.8
SWE,2014,28.4
SWE,2015,29.2
SWE,2016,29.6
SWE,2017,28.8
SWE,2018,30
SWE,2019,27.6
